"","ID","DATE","ELEMENT","VALUE","MFLAG","QFLAG","SFLAG","NAME","LONGITUDE","LATITUDE","ELEVATION","elevation","tmax_normal_annual","vpdmax_normal_annual","tdmean_normal_annual","tmean_normal_annual","tmin_normal_annual","vpdmin_normal_annual","ppt_normal_annual","slope","aspect","ppt_2021_02","ppt_2021_03","CV_GAM_MODEL","CV_RF_MODEL","CV_LM_MODEL","CV_GAM_RASTER_PREDS","CV_RF_RASTER_PREDS","CV_LM_RASTER_PREDS","CV_GAM_SNODAS_50_50","CV_GAM_SNODAS_60_40","CV_GAM_SNODAS_70_30","CV_GAM_SNODAS_80_20","CV_GAM_SNODAS_90_10","CV_GAM_SNODAS_100","SNODAS_VALUE","UA_VALUE","DAYMET_VALUE"
"376434","USS0010J52S",1982-04-01,"WESD",957.6," "," ","T","Trial Lake",-110.95,40.68,3045.6,2985,8.59000015258789,9.34000015258789,-6.84999990463257,1.75999999046326,-5.07999992370605,1.37999999523163,1015.75,1.3284499441869,183.281094004999,120.689498901367,75.6825942993164,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"397204","USS0010K01S",1982-04-01,"WESD",434.3," "," ","T","Indian Canyon",-110.75,39.89,2796.5,2716,11.1400003433228,11.3400001525879,-6,4.69000005722046,-1.75999999046326,3,637.429992675781,4.33716023420457,303.421979517047,50.1571998596191,64.0961990356445,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"413541","USS0010K02S",1982-04-01,"WESD",472.4," "," ","T","White River #1",-110.99,39.96,2633.8,2643,10.8199996948242,11.039999961853,-5.71000003814697,4.17000007629395,-2.48000001907349,2.38000011444092,594.22998046875,5.27568472332334,256.525474316617,55.4116973876953,48.4776000976562,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"454275","USS0011H08S",1982-04-01,"WESD",1366.5," "," ","T","Ben Lomond Peak",-111.94,41.38,2438.4,2050,12.5200004577637,12.3500003814697,-3.75,6.3600001335144,0.189999997615814,2.79999995231628,1422.57995605469,11.1265212121201,70.5683803513235,131.720397949219,35.2219009399414,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"470612","USS0011H21S",1982-04-01,"WESD",810.3," "," ","T","Horse Ridge",-111.45,41.31,2487.2,2485,10.3500003814697,9.98999977111816,-4.07999992370605,4.78000020980835,-0.800000011920929,2.46000003814697,932.130004882812,0.435409999082621,160.692614821965,109.118896484375,31.978199005127,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"486949","USS0011H25S",1982-04-01,"WESD",426.7," "," ","T","Little Bear",-111.83,41.41,1994.6,1987,12.7200002670288,12.960000038147,-4.15000009536743,6.28999996185303,-0.140000000596046,2.77999997138977,905.559997558594,7.07004097484233,322.309229886841,93.6112976074219,33.2021980285645,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"502542","USS0011H30S",1982-04-01,"WESD",629.9," "," ","T","Ben Lomond Trail",-111.92,41.38,1776.7,1791,13.8000001907349,14.3500003814697,-4.07000017166138,6.96000003814697,0.119999997317791,2.96000003814697,1071.18005371094,4.04709191447104,93.7728085489376,131.720397949219,35.2219009399414,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"527931","USS0011H36S",1982-04-01,"WESD",1371.6," "," ","T","Tony Grove Lake",-111.63,41.9,2582.9,2586,9.05000019073486,8.6899995803833,-4.26999998092651,3.75999999046326,-1.52999997138977,2.04999995231628,1208.91003417969,3.30430891537223,186.388134160072,187.05729675293,38.336498260498,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"544268","USS0011H37S",1982-04-01,"WESD",795," "," ","T","Bug Lake",-111.42,41.68,2423.2,2507,10.0100002288818,10.3100004196167,-4.92000007629395,4.01000022888184,-1.99000000953674,2.16000008583069,772.22998046875,1.74798830921864,209.062748480968,106.781997680664,32.6759986877441,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"560605","USS0011H55S",1982-04-01,"WESD",670.6," "," ","T","Dry Bread Pond",-111.54,41.41,2545.1,2515,9.89000034332275,9.67000007629395,-4.34999990463257,4.32000017166138,-1.25999999046326,2.32999992370605,788.739990234375,2.78678558411374,247.987252610088,107.969497680664,42.6879005432129,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"576942","USS0011H57S",1982-04-01,"WESD",866.1," "," ","T","Monte Cristo",-111.5,41.47,2731,2697,8.65999984741211,8.75,-5.15999984741211,3.15000009536743,-2.35999989509583,1.98000001907349,998.820007324219,1.25634628366293,304.212471539667,141.50569152832,48.8178977966309,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"613336","USS0011J01S",1982-04-01,"WESD",828," "," ","T","Chalk Creek #1",-111.05,40.85,2741.1,2887,8.73999977111816,9.30000019073486,-6.40000009536743,2.72000002861023,-3.30999994277954,1.78999996185303,1056.92004394531,2.82926220198967,91.6048646992103,104.362098693848,92.0610961914062,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"629673","USS0011J02S",1982-04-01,"WESD",535.9," "," ","T","Chalk Creek #2",-111.07,40.89,2486.6,2454,11.2700004577637,11.6300001144409,-5.25,4.61999988555908,-2.03999996185303,2.11999988555908,734.25,5.67295699457566,319.575750428287,65.3061981201172,54.2271003723145,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"649699","USS0011J08S",1982-04-01,"WESD",662.9," "," ","T","Strawberry Divide",-111.21,40.16,2475.9,2495,11.8400001525879,12.1899995803833,-5.09000015258789,4.92000007629395,-2.00999999046326,2.32999992370605,730.950012207031,5.74489855501885,103.968250946965,72.3123016357422,37.7078971862793,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"666036","USS0011J11S",1982-04-01,"WESD",1143," "," ","T","Farmington",-111.82,40.99,2438.4,2150,11.7600002288818,11.1000003814697,-3.73000001907349,5.57000017166138,-0.620000004768372,2.38000011444092,1131.77001953125,0.736637377466184,251.158862176166,156.68359375,71.0698013305664,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"689348","USS0011J21S",1982-04-01,"WESD",1028.7," "," ","T","Timpanogos Divide",-111.62,40.43,2481.1,2547,10.3999996185303,9.78999996185303,-4.30000019073486,5.34000015258789,0.280000001192093,3.03999996185303,1015.34997558594,9.92744006770794,24.6721777132582,80.8000946044922,84.3266983032227,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"709405","USS0011J23S",1982-04-01,"WESD",510.5," "," ","T","Daniels-Strawberry",-111.26,40.3,2449.7,2494,11.6899995803833,12.1700000762939,-5.44999980926514,4.94000005722046,-1.82000005245209,2.4300000667572,814.159973144531,5.36703491579627,67.4774835823557,77.9416961669922,43.6414985656738,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"725742","USS0011J32S",1982-04-01,"WESD",332.7," "," ","T","Currant Creek",-111.09,40.36,2438.4,2470,12.0500001907349,12.6199998855591,-6.1399998664856,3.6800000667572,-4.69999980926514,1.47000002861023,604.460021972656,2.4642155426093,159.327353873063,63.2824974060059,39.5912971496582,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"765112","USS0011J46S",1982-04-01,"WESD",421.6," "," ","T","Beaver Divide",-111.1,40.61,2523.7,2515,11.3800001144409,11.9499998092651,-5.59999990463257,4.32999992370605,-2.72000002861023,2.04999995231628,750.590026855469,4.65446720078018,233.92588182993,73.0944976806641,44.7355003356934,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"781449","USS0011J52S",1982-04-01,"WESD",650.2," "," ","T","Parley's Summit",-111.63,40.76,2286,2275,12.2700004577637,11.710000038147,-3.49000000953674,6.3600001335144,0.439999997615814,2.75,875.150024414062,3.33201501347664,207.345231353265,115.447494506836,58.8490982055664,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"797786","USS0011J53S",1982-04-01,"WESD",452.1," "," ","T","Smith & Morehouse",-111.12,40.79,2316.5,2275,12.5799999237061,12.9300003051758,-5.28000020980835,4.75,-3.07999992370605,1.63999998569489,782.039978027344,5.16098004073292,185.914557319693,62.9459991455078,51.7645988464355,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"889608","USS0011K03S",1982-04-01,"WESD",731.5," "," ","T","Mammoth-Cottonwood",-111.32,39.68,2660,2680,10.8900003433228,11.1700000762939,-6.30000019073486,3.94000005722046,-3.01999998092651,2.60999989509583,701.650024414062,0.22346049037465,194.566453578573,80.0170974731445,55.8951988220215,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"909231","USS0011K09S",1982-04-01,"WESD",515.6," "," ","T","Seeley Creek",-111.43,39.31,3020.6,3033,7.82999992370605,8.8100004196167,-7.76999998092651,2.41000008583069,-3.01999998092651,2.55999994277954,671.099975585938,2.16219638601502,68.4943559080264,76.3714981079102,66.8536987304688,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"935891","USS0011K13S",1982-04-01,"WESD",375.9," "," ","T","Beaver Dams",-111.56,39.14,2435.4,2552,12.2200002670288,12.1899995803833,-6.11999988555908,5.48999977111816,-1.25,3.24000000953674,729.080017089844,7.20838991853368,184.561361646288,68.1595993041992,52.3473968505859,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"951887","USS0011K15S",1982-04-01,"WESD",535.9," "," ","T","Dill's Camp",-111.47,39.05,2798.7,2797,10.9799995422363,11.1599998474121,-6.90999984741211,4.30999994277954,-2.36999988555908,2.98000001907349,735.859985351562,5.48770061889082,101.023758896381,92.5612945556641,57.9984970092773,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"968224","USS0011K21S",1982-04-01,"WESD",650.2," "," ","T","Clear Creek #1",-111.28,39.87,2715.2,2714,10.2799997329712,10.4499998092651,-6.05000019073486,4.48000001907349,-1.32000005245209,2.8199999332428,755.989990234375,6.00667940708831,332.535020305551,80.8246994018555,58.0048980712891,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"984561","USS0011K22S",1982-04-01,"WESD",533.4," "," ","T","Clear Creek #2",-111.25,39.89,2334.5,2450,11.9700002670288,12.3800001144409,-6.03000020980835,4.88000011444092,-2.22000002861023,2.70000004768372,686.090026855469,6.59225011519032,345.201253611563,80.1501007080078,56.879997253418,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1000836","USS0011K28S",1982-04-01,"WESD",612.1," "," ","T","Red Pine Ridge",-111.27,39.45,2745.9,2763,10.6000003814697,10.8699998855591,-6.78999996185303,3.65000009536743,-3.30999994277954,2.65000009536743,814.190002441406,4.70530032984807,114.666772157214,71.9449005126953,48.0641975402832,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1020862","USS0011K31S",1982-04-01,"WESD",739.1," "," ","T","Buck Flat",-111.44,39.13,2874.3,2939,10,10.210000038147,-7.30000019073486,3.51999998092651,-2.97000002861023,2.76999998092651,822.409973144531,5.49631118416305,34.266771476008,103.527694702148,77.1439971923828,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1048266","USS0011K39S",1982-04-01,"WESD",574," "," ","T","Pickle Keg",-111.58,39.01,2926.1,2703,11.5,11.3000001907349,-5.86999988555908,5.57000017166138,-0.360000014305115,3.38000011444092,807.539978027344,6.62397589322553,174.077515134122,95.8902969360352,79.5412979125977,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1063859","USS0011K52S",1982-04-01,"WESD",726.4," "," ","T","Payson R.S.",-111.63,39.93,2458.5,2461,11.6599998474121,11.6499996185303,-5.3600001335144,5.75,-0.170000001788139,3.0699999332428,716.820007324219,3.48181324270455,72.6748988934745,74.943000793457,55.966796875,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1079452","USS0011L01S",1982-04-01,"WESD",657.9," "," ","T","Farnsworth Lake",-111.68,38.77,2951.1,2969,9.17000007629395,9.3100004196167,-6.76999998092651,3.50999999046326,-2.16000008583069,2.54999995231628,892.219970703125,8.85488625562239,322.251589243734,125.842796325684,86.9265975952148,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1103508","USS0011L04S",1982-04-01,"WESD",381," "," ","T","Black Flat-U.M. Ck",-111.6,38.68,2884,2858,10.9799995422363,11.2600002288818,-7.21999979019165,3.27999997138977,-4.42000007629395,1.97000002861023,554.559997558594,2.60828675243889,186.09294844237,86.8985977172852,60.7266998291016,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1133206","USS0011L12S",1982-04-01,"WESD",414," "," ","T","Gooseberry RS",-111.68,38.8,2423.2,2434,12.8000001907349,13.0500001907349,-5.76999998092651,5.61999988555908,-1.55999994277954,2.71000003814697,689.390014648438,1.77275195764188,347.343812320006,88.4901962280273,62.8264999389648,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
"1152798","USS0011M03S",1982-04-01,"WESD",421.6," "," ","T","Widtsoe #3",-111.88,37.84,2938.3,2897,11.0799999237061,11.7299995422363,-6.5,4.44000005722046,-2.20000004768372,2.17000007629395,669.75,1.84461475480484,195.200407460125,41.4939994812012,62.9314994812012,99999,NA,NA,99999,99999,99999,NA,NA,NA,NA,NA,NA,99999,99999,99999
